"Country Name",Y1960,Y1965,Y1970,Y1975,Y1980,Y1985,Y1990,Y1995,Y2000,Y2005,Y2010,Y2015,Y2020
Mali,5263727,5568495,5949042,6482282,7090124,7831888,8449915,9585660,10946448,12775509,15049352,17438772,20250834
Malta,326550,318800,302650,304222,316645,336452,354170,377419,390087,403834,414508,445053,515332
Myanmar,21736947,24259356,27269063,30611093,34224316,37977087,41335188,43901598,46719698,48949931,50600827,52680724,54409794
"Middle East & North Africa (excluding high income)",97553136,111307810,127335093,144855662,166616386,194494177,226259024,254233340,279279614,304755514,332777842,363975556,396147843
Montenegro,480579,526327,512407,546487,572608,605398,606372,611712,604950,614261,619428,622159,621306
Mongolia,955514,1107121,1278819,1479646,1689622,1921889,2184139,2298017,2397417,2526429,2719902,2998433,3278292
"Northern Mariana Islands",9980,11023,13000,14917,16633,28719,45752,45872,57453,56547,53971,55779,57557
Mozambique,7184870,8039217,9022747,10165216,11630194,12764385,12987292,15483277,17711925,20493927,23531567,27042001,31255435
Mauritania,850377,985907,1146776,1330594,1540644,1780033,2034347,2313630,2630217,3024198,3494200,4046304,4649660
Mauritius,659351,753000,826000,892000,966039,1020528,1058775,1122457,1186873,1228254,1250400,1262605,1265740
Malawi,3659980,4134464,4703783,5384798,6250434,7268271,9404499,9844418,11148751,12625950,14539609,16745305,19129955
Malaysia,8156342,9526558,10804131,12162189,13798094,15598924,18029824,20487604,23194252,25690615,28208028,30270965,32365998
"North America",198624409,214031100,226431000,239169275,251795337,263823014,277373464,295640057,312909974,327824506,343397156,356507139,369602187
Namibia,634138,716588,817474,947925,1057723,1198149,1432899,1627866,1794583,1938316,2118877,2314901,2540916
"New Caledonia",79000,90500,112000,132500,140050,154450,170899,193816,213230,232250,249750,268700,271960
Niger,3388774,3914118,4510645,5184940,5989000,6915994,8026592,9490289,11331561,13624474,16464025,20001663,24206636
Nigeria,45138460,50127920,55982142,63374289,73423646,83562776,95212454,107948339,122283853,138865014,158503203,181137454,206139587
Nicaragua,1773132,2068379,2406523,2806859,3265520,3734343,4173435,4652185,5069310,5438692,5824058,6223234,6624554
Netherlands,11486631,12294732,13038526,13666335,14149800,14491632,14951510,15459006,15925513,16319868,16615394,16939923,17441500
Norway,3581239,3723168,3875763,4007313,4085620,4152516,4241473,4359184,4490967,4623291,4889252,5188607,5379475
Nepal,10105060,10972912,12074628,13420367,15016408,16858315,18905480,21576074,23941099,25744500,27013207,27015033,29136808
Nauru,4377,5859,6553,7178,7751,8501,9506,10626,10335,9848,10009,10374,10834
"New Zealand",2371800,2628400,2810700,3083100,3112900,3247100,3329800,3673400,3857700,4133900,4350700,4609400,5084300
"OECD members",809413164,866357882,917970733,971664215,1018954080,1062613469,1107196961,1156879819,1200836415,1245821323,1292110708,1332787383,1372683615
Oman,551735,625006,723842,882038,1154373,1498413,1812158,2204267,2267973,2511254,3041435,4267341,5106622
"Other small states",9151857,10026023,11029164,12219420,13598547,15347574,17430785,19125038,20917080,22929069,26050929,28948893,31929881
Pakistan,44988690,50917975,58142062,66816875,78054346,92191505,107647918,123776835,142343583,160304007,179424643,199426953,220892331
